idKorisnik,username,JMBG,ime,prezime,pol,datRodj,adresa,telefon,email,NASELJE_IDNASELJE
15,negoslavani5697,0405933005979,Negoslava,Nikčević,F,1933-05-04,SVETOG SAVE 162,+381 69 237 0826,negoslavani5697@yandex.ru,801330
16,VelemirMinjović,2211925822227,Velemir,Minjović,M,1925-11-22,SVETOZARA MILETIĆA 24,+381 68 704 6484,,801330
17,veselinkane6412,1902990555206,Veselinka,Nektarijević,F,1990-02-19,NIKOLE PAŠIĆA 46,+381 63 716 7688,veselinkane6412@yandex.ru,801330
18,MiljanaEraković,1512972876780,Miljana,Eraković,F,1972-12-15,SVETOG SAVE 19,+381 66 688 3106,MiljanaEraković@mail.ru,801330
19,vladicakula7871,0910971324104,Vladica,Kulašinović,M,1971-10-09,JAŠE TOMIĆA 67,+381 68 753 4827,,800996
20,radišaandre8685,1506002171996,Radiša,Andrekulović,M,2002-06-15,BLAGOJA BRANČIĆA 86,+381 65 847 2747,radišaandre8685@gmail.com,800996
21,OmiljPeralović,1110989100907,Omilj,Peralović,M,1989-10-11,TAKAČ IŠTVAN 12,+381 69 567 1473,OmiljPeralović@yandex.ru,803707
22,tiodorđunis5618,1211948352480,Tiodor,Đunisijević,M,1948-11-12,ALEKSE ŠANTIĆA 56,+381 64 630 0612,,803707
23,zlatomirkap617,2704983248223,Zlatomirka,Pajović,F,1983-04-27,NOVOSADSKI PUT 68A,+381 69 145 8830,zlatomirkap617@yandex.ru,803707
24,cvetanadabu1029,0605992599956,Cvetana,Dabulović,F,1992-05-06,PETRA GORČIĆA 54,+381 65 334 6271,cvetanadabu1029@yandex.ru,803707
25,grozdanajoš7777,1304971806278,Grozdana,Jošanović,F,1971-04-13,POŠTANSKA 6A,+381 64 466 7638,,803707
26,JančaPavković,1902960464664,Janča,Pavković,M,1960-02-19,VOJVODE STEPE STEPANOVIĆA 4,+381 61 705 8680,JančaPavković@yandex.ru,802689
27,IsidoraSojević,2304928829601,Isidora,Sojević,F,1928-04-23,VUKA KARADŽIĆA 23,+381 65 486 4353,,802689
28,OgnjenaBitević,3110955359861,Ognjena,Bitević,F,1955-10-31,ARAČKA 7,+381 68 331 7023,OgnjenaBitević@hotmail.com,802611
29,KaticaMalenović,1911993937574,Katica,Malenović,F,1993-11-19,5. OKTOBAR 60,+381 64 036 3083,,802611
30,raduletanac3349,0304937334494,Radule,Tanacković,M,1937-04-03,KEJ DR. ZORANA ĐINĐIĆA 6,+381 64 357 7551,raduletanac3349@yandex.ru,803707
31,bogoljubluk1336,2611954464593,Bogoljub,Lukešević,M,1954-11-26,VARDARSKA 15A,+381 61 211 7777,,804908
32,stanojkamir2418,2506969468382,Stanojka,Mirošević,F,1969-06-25,MILIVOJA VESELINOVIĆA 16,+381 67 067 5053,,804428
33,RadaVukašević,0502933987582,Rada,Vukašević,F,1933-02-05,JANA SIKORE 169,+381 66 741 8757,,804428
34,JovoBratović,2504945234384,Jovo,Bratović,M,1945-04-25,MILUTINA MILANKOVIĆA 58,+381 65 505 3201,,801798
35,svetlanarud3197,0110993687402,Svetlana,Rudaljević,F,1993-10-01,ŠVEDSKA 23,+381 65 287 3702,svetlanarud3197@mail.ru,801763
36,LenaPingović,0407949258695,Lena,Pingović,F,1949-07-04,PILOTSKA 19,+381 68 125 4520,,801801
37,LunaMitrašević,1502930457916,Luna,Mitrašević,F,1930-02-15,KOŠEVAČKA 5,+381 66 637 7374,,801801
38,PetojeTošaković,1905000751600,Petoje,Tošaković,M,2000-05-19,MARŠALA TITA 57B,+381 65 447 7843,PetojeTošaković@hotmail.com,801674
39,MatejKosanović,2206977264283,Matej,Kosanović,M,1977-06-22,ŠAJKAŠKA 5A,+381 63 724 3563,MatejKosanović@hotmail.com,804738
40,CvjetanGemović,2306968271148,Cvjetan,Gemović,M,1968-06-23,CINCORIJA 71,+381 67 186 0353,,804444
41,DavorCumpalević,2410977660265,Davor,Cumpalević,M,1977-10-24,TRG MARŠALA TITA 3,+381 63 615 7455,DavorCumpalević@gmail.com,801526
42,savetkapeja5503,2202925848245,Savetka,Pejatović,F,1925-02-22,PARTIZANSKA 65A,+381 69 842 6264,,801526
43,AnđelkaBraković,1210949686521,Anđelka,Braković,F,1949-10-12,BORE MIKINA 19A,+381 67 266 1720,AnđelkaBraković@yahoo.com,801623
44,damljankaži756,2107990776604,Damljanka,Živoinović,F,1990-07-21,BRAĆE BARNIĆ 56,+381 69 202 0502,damljankaži756@hotmail.com,801623
45,zvonimirvit3207,0704937994465,Zvonimir,Vitomirović,M,1937-04-07,SRPSKIH VLADARA 9,+381 67 500 3170,,801623
46,svjetlanašu3437,1601930868882,Svjetlana,Šućević,F,1930-01-16,VETRENJAČA 19,+381 69 448 4603,,802212
47,milašinoštr7372,2704971253726,Milašin,Oštreljanović,M,1971-04-27,ARKADIJA POPOV 5,+381 66 372 4111,milašinoštr7372@gmail.com,802620
48,stanikašago9397,1709000039585,Stanika,Šagovnović,F,2000-09-17,IVE LOLE RIBARA 3,+381 63 430 6808,stanikašago9397@yandex.ru,804843
49,radunkarbun7746,0710983664016,Radun,Karbunarević,M,1983-10-07,KOSTE SIMINOG 33,+381 64 820 3285,radunkarbun7746@mail.ru,801712
50,dobrijacvet538,0708938747995,Dobrija,Cvetanović,F,1938-08-07,ARSENIJA ČARNOJEVIĆA 37,+381 67 310 1703,,801658
51,žaklinabasu7618,3012995247458,Žaklina,Basurović,F,1995-12-30,RIBOLOVAČKA 51,+381 66 022 4568,,704881
52,kažimirkeka452,0103955090791,Kažimir,Kekanović,M,1955-03-01,ŽABALJSKA 20A,+381 62 318 1764,,801542
53,plavšavukul1474,3105939163281,Plavša,Vukuljević,M,1939-05-31,DR VASE SAVIĆA 14B,+381 62 451 1612,,801542
54,BorišaČukalović,3105942221476,Boriša,Čukalović,M,1942-05-31,BRAĆE FOGAROŠI 27,+381 64 747 7436,,801542
55,radivojrnja3980,0401961971684,Radivoj,Rnjaković,M,1961-01-04,IVE LOLE RIBARA 33,+381 64 688 0434,,801542
56,DražeZukanović,2906925483310,Draže,Zukanović,M,1925-06-29,GROBLJANSKA 2B,+381 69 701 7428,,801542
57,jezdimircuc4006,1103954473766,Jezdimir,Cucurević,M,1954-03-11,PANČEVAČKA 36A,+381 66 343 0806,,801542
58,nemanjamilo2831,3011985870901,Nemanja,Milojčević,M,1985-11-30,ALIBUNARSKI RED 2,+381 64 781 3431,nemanjamilo2831@hotmail.com,801542
59,novicamisal5951,1511943301982,Novica,Misaljević,M,1943-11-15,RELJINA 41,+381 69 185 8888,,801542
60,VuinKragojević,2410949152613,Vuin,Kragojević,M,1949-10-24,KOŠUT LAJOŠA 34,+381 62 408 1122,,801631
61,damljankazo6853,2912928695149,Damljanka,Zoćević,F,1928-12-29,IVE LOLE RIBARA 1B,+381 68 838 4508,,802913
62,anđelkokoče2488,1610963410715,Anđelko,Kočetanović,M,1963-10-16,BRATSTVA JEDINSTVA 45,+381 61 463 6740,anđelkokoče2488@hotmail.com,802913
63,milosavamur4570,0702967096010,Milosava,Murašković,F,1967-02-07,MARŠALA TITA 28,+381 68 426 6858,,801704
64,borikamirče1198,0407002508255,Borika,Mirčetović,F,2002-07-04,MILENTIJA POPOVIĆA 47,+381 61 086 3536,borikamirče1198@yahoo.com,801542
65,vukojekamal1402,2112984171578,Vukoje,Kamaljević,M,1984-12-21,4. OKTOBRA 100,+381 65 626 2305,vukojekamal1402@yahoo.com,802131
66,šumenkovlaš8123,0210003540134,Šumenko,Vlašković,M,2003-10-02,VASE STAJIĆA 49,+381 60 337 5407,šumenkovlaš8123@yahoo.com,802166
67,RajčetaZubović,1401977192918,Rajčeta,Zubović,M,1977-01-14,DOŽA ĐERĐA 110,+381 69 460 5620,RajčetaZubović@hotmail.com,801453
68,miljamilija3313,0606996929390,Milja,Milijašević,F,1996-06-06,PARTIZANSKA 82,+381 65 630 1030,miljamilija3313@yandex.ru,802158
69,hvalislavđa174,2808935743432,Hvalislav,Đapanović,M,1935-08-28,FEJEŠ KLARE 24A,+381 69 784 2077,,802158
70,mioljubkecm2967,1602932512774,Mioljub,Kecmanović,M,1932-02-16,IBARSKI ODRED 3,+381 62 725 5034,,730602
71,NeškoBrnjašević,2001926743282,Neško,Brnjašević,M,1926-01-20,AVNOJ-A 51A,+381 68 737 2744,,730602
72,laketajerot2898,1307936560052,Laketa,Jerotijević,M,1936-07-13,RELJE KRILATICE 63V,+381 66 005 0814,,730602
73,dragoslaval9884,2205991486993,Dragoslava,Lepović,F,1991-05-22,NURIJE POZDERCA 2I,+381 66 505 8678,dragoslaval9884@yahoo.com,730602
74,MiomirSuzović,2206950762361,Miomir,Suzović,M,1950-06-22,LJUBLJANSKA 14,+381 64 804 1667,MiomirSuzović@mail.ru,730602
75,dragojlastj1640,2208947655528,Dragojla,Stjepović,F,1947-08-22,BANJA 48,+381 68 581 5784,,730017
76,IgorHrnjaković,1402965062478,Igor,Hrnjaković,M,1965-02-14,MILUNKE SAVIĆ 27,+381 66 674 5283,,719641
77,cvjetošborz9566,1110931423767,Cvjetoš,Borzanović,M,1931-10-11,CARA LAZARA 8V,+381 60 857 0706,,720224
78,smoljanarud4374,0211981418487,Smoljana,Rudaković,F,1981-11-02,KRALJA PETRA PRVOG 78,+381 68 223 5487,smoljanarud4374@mail.ru,719340
79,vladankavel9312,0310972315644,Vladanka,Veljašević,F,1972-10-03,SOLIDARNOSTI 2,+381 68 600 8488,,737445
80,peraostrovl8359,2312984970152,Pera,Ostrovljanović,M,1984-12-23,OPLENAČKA 8,+381 62 335 1432,peraostrovl8359@yahoo.com,737496
81,velislavula9491,1810982392201,Velislav,Ulanović,M,1982-10-18,29.NOVEMBRA 9,+381 61 777 6028,velislavula9491@yandex.ru,737496
82,ŠpiroBranojević,0307960872583,Špiro,Branojević,M,1960-07-03,PROLETERSKIH BRIGADA 1,+381 66 824 0532,,720283
83,jagošbelobr9883,0810938051957,Jagoš,Belobrković,M,1938-10-08,DOSITEJA OBRADOVIĆA 7,+381 63 040 2245,,719706
84,maletastail7024,0110969200425,Maleta,Stailković,M,1969-10-01,DR VOJISLAVA S. RADOVANOVIĆA 3A,+381 62 670 1258,,736996
85,radinapriba2860,3001949588297,Radina,Pribaković,F,1949-01-30,DRAGANA MARINKOVIĆA 100,+381 66 023 0035,,719307
86,milevkakeše593,3009933116948,Milevka,Kešeljević,F,1933-09-30,4. CRNOGORSKA 42,+381 68 735 7454,,719714
87,JerinaAbrašević,2502949895045,Jerina,Abrašević,F,1949-02-25,ALEMPIJA JANKOVIĆA 5,+381 69 558 2184,,719528
88,vladislavas2955,0103979466442,Vladislava,Stangačilović,F,1979-03-01,GAJČANSKI PUT 16,+381 60 270 6745,vladislavas2955@yandex.ru,745812
89,dimitrijeda2640,2309926742034,Dimitrije,Dacković,M,1926-09-23,LIPA 11,+381 60 852 0070,,713333
90,slađanaberi4538,2903992125499,Slađana,Berisavljević,F,1992-03-29,RADIVOJA VIOLINISTE 13,+381 65 588 4803,slađanaberi4538@yandex.ru,701459
91,stojankazak5940,2006000626762,Stojanka,Zakonović,F,2000-06-20,GAJČANSKA 23,+381 67 603 4517,stojankazak5940@yandex.ru,713350
92,BoraŠerović,3012929760393,Bora,Šerović,M,1929-12-30,DRUGI SRPSKI USTANAK 8Đ,+381 63 087 1228,,701408
93,BrankaPujević,1502999826868,Branka,Pujević,F,1999-02-15,PUT ZA KOLONIJU 68,+381 67 357 7860,BrankaPujević@gmail.com,703656
94,milutinpeji6032,1005990010317,Milutin,Pejinović,M,1990-05-10,VIŠNJE MOSIĆ 49,+381 65 183 8638,milutinpeji6032@hotmail.com,703656
95,VesnaKaranović,2511964089720,Vesna,Karanović,F,1964-11-25,CERSKA 31,+381 60 778 5785,VesnaKaranović@mail.ru,791024
96,vojkaobradi8699,2510940336289,Vojka,Obradinović,F,1940-10-25,ČARLIJA ČAPLINA 12,+381 62 284 4552,vojkaobradi8699@yahoo.com,791075
97,gorankazlat8289,1003960778071,Goranka,Zlatanović,F,1960-03-10,POREČKA 6,+381 68 428 1423,,791075
98,zlaticabudo8539,1803000309913,Zlatica,Budojević,F,2000-03-18,VOJVODE SAVATIJA 23,+381 64 080 4575,zlaticabudo8539@hotmail.com,791032
99,njegovanjoč7221,0807937943680,Njegovan,Jočković,M,1937-07-08,BULEVAR DESPOTA STEFANA 117,+381 61 504 4743,,791075
100,drakšajovan8062,1409940013182,Drakša,Jovančević,M,1940-09-14,BERANSKA 116A,+381 68 565 8428,,791016
101,StoinKalanović,1702971111722,Stoin,Kalanović,M,1971-02-17,MAJSKA 7A,+381 64 540 8628,StoinKalanović@gmail.com,791016
102,NataIkalović,1803993037375,Nata,Ikalović,F,1993-03-18,VOJVODE STEPE 555,+381 60 685 4457,NataIkalović@hotmail.com,791016
103,leposlavtop863,1106948882296,Leposlav,Topuzović,M,1948-06-11,MILANA RAKIĆA 4,+381 67 356 4448,,791032
104,živomircrni3223,2211969661762,Živomir,Crnilović,M,1969-11-22,PANTE SREĆKOVIĆA 7,+381 62 305 1070,živomircrni3223@hotmail.com,791032
105,stefanamila1592,0308950259629,Stefana,Milašković,F,1950-08-03,MIHAILA PETROVA 8,+381 69 056 2362,,791032
106,grujicaoroš6695,2903943690339,Grujica,Oroščetović,M,1943-03-29,MIHAJLA ŠVRAKE 5,+381 60 402 4158,grujicaoroš6695@yahoo.com,791075
107,borivojepej6627,1510954922809,Borivoje,Pejinović,M,1954-10-15,GRGE ANDRIJANOVIĆA ULICA 3 1A,+381 66 766 2505,,791075
108,spasenkaraf5535,2207928697685,Spasenka,Rafailović,F,1928-07-22,PROLOMSKA 14A,+381 67 433 4411,,791016
109,ĆiraTrojančević,0210994800778,Ćira,Trojančević,M,1994-10-02,BULEVAR KRALjA ALEKSANDRA 356,+381 60 732 4155,ĆiraTrojančević@hotmail.com,791032
110,vujanaveren2564,2903995746269,Vujana,Verenčević,F,1995-03-29,JASTREBAČKA 17,+381 64 221 6286,vujanaveren2564@gmail.com,791075
111,šumenkoljuš7315,2605998384456,Šumenko,Ljuštanović,M,1998-05-26,JOVANKE RADAKOVIĆ 108,+381 63 061 7652,šumenkoljuš7315@yahoo.com,791032
112,gvozdenijal8623,0608004337048,Gvozdenija,Labalović,F,2004-08-06,LOŠINJSKA DONJA 46,+381 67 056 0504,gvozdenijal8623@yahoo.com,791032
113,PribićGrabović,1302975334641,Pribić,Grabović,M,1975-02-13,VOJVODE MIŠIĆA 39B,+381 65 626 4424,PribićGrabović@mail.ru,705055
114,obradinkabu7590,2609000218721,Obradinka,Budićević,F,2000-09-26,POLjARSKA 5,+381 66 287 0844,obradinkabu7590@hotmail.com,703656
115,SretoJerović,2502943053729,Sreto,Jerović,M,1943-02-25,NIKOLE TESLE 10A,+381 67 633 4565,,705055
116,SredojeĆaldović,2312956603579,Sredoje,Ćaldović,M,1956-12-23,DRAGANA LUKIĆA 1,+381 64 557 8612,,791075
117,AnđeloGrdanović,2410000193064,Anđelo,Grdanović,M,2000-10-24,DUŠKA RADOVIĆA 16,+381 66 621 8115,AnđeloGrdanović@mail.ru,703770
118,mirosavakok1418,0810974377908,Mirosava,Kokanović,F,1974-10-08,DARINKE JEVRIĆ 62,+381 61 084 3117,mirosavakok1418@hotmail.com,791075
119,RusimirTešović,1801999502810,Rusimir,Tešović,M,1999-01-18,STEVANA SINĐELIĆA 105,+381 67 477 6248,RusimirTešović@gmail.com,703770
120,cvjetošsimo4426,1904954221150,Cvjetoš,Simojlović,M,1954-04-19,STEVANA SREMCA 20,+381 66 703 4752,,703796
121,milobranjov3004,2007966090224,Milobran,Jovanović,M,1966-07-20,NEMANJINA 17,+381 60 200 7841,milobranjov3004@yandex.ru,713368
122,RađenPejčinović,1004951201411,Rađen,Pejčinović,M,1951-04-10,CARA LAZARA 60,+381 64 853 8711,RađenPejčinović@hotmail.com,716910
123,jasenkodrag6204,1801929403673,Jasenko,Dragićević,M,1929-01-18,SVETOG SAVE 53,+381 63 566 5631,,720275
124,spasenkavuč574,2302944416773,Spasenka,Vučković,F,1944-02-23,EPISKOPA MIHAILA UROŠEVIĆA 7,+381 63 740 1155,,716812
125,ostojakamal8993,0707942771249,Ostoja,Kamaljević,M,1942-07-07,JANKA KATIĆA 10A,+381 61 161 3820,,701416
126,vidosavadži5898,1112978287218,Vidosava,Džinović,F,1978-12-11,PUŠKINOVA 25,+381 66 652 3722,vidosavadži5898@yandex.ru,701599
127,mionabalaba959,1211991937435,Miona,Balabanović,F,1991-11-12,DOSITEJA OBRADOVIĆA 7,+381 62 756 4334,mionabalaba959@yandex.ru,720275
128,dragančabri3380,1406928870614,Dragan,Čabrinović,M,1928-06-14,KRALJA MILANA OBRENOVIĆA 83,+381 64 221 0884,,717061
129,LaleRahović,0211956360699,Lale,Rahović,M,1956-11-02,NIKOLJSKA 36,+381 66 102 3557,,742228
130,grubanslati8913,2312968513722,Gruban,Slatinašević,M,1968-12-23,PETKAJSKA 77,+381 62 554 3156,grubanslati8913@mail.ru,704415
131,dragosavpri6141,2909939764681,Dragosav,Pribišević,M,1939-09-29,KOSMAJSKOG ODREDA 52A,+381 67 245 6448,,705012
132,milankavuču4074,3008941828849,Milanka,Vučurević,F,1941-08-30,DESE MARKOVIĆ 11A,+381 69 517 8421,,705047
133,SavicaDaišević,2411973279379,Savica,Daišević,F,1973-11-24,PROLETERSKA 64,+381 63 224 1131,,704997
134,KokanTalović,1308937151407,Kokan,Talović,M,1937-08-13,ŽIČKA 7A,+381 61 081 4026,,703729
135,pavijastran5802,2007936796254,Pavija,Stranjančević,F,1936-07-20,VOJIŠTE 4,+381 68 684 1140,,704415
136,MićaŠićević,1707927474157,Mića,Šićević,M,1927-07-17,BRANISLAVA NUŠIĆA 3,+381 61 524 7028,,704997
137,ognjenkapov7293,2804957087991,Ognjenka,Povremović,F,1957-04-28,PATRIJARHA PAVLA 2,+381 64 536 1116,,703796
138,svetozarlak4732,0911984531901,Svetozar,Lakočević,M,1984-11-09,BEOGRADSKA 121,+381 63 384 3354,svetozarlak4732@hotmail.com,704873
139,damjankakot9648,2203983136805,Damjanka,Kotarčević,F,1983-03-22,GRADAŠNIČKA 120,+381 62 141 8731,damjankakot9648@gmail.com,791075
140,drailokraca9308,2011938904231,Drailo,Kracanović,M,1938-11-20,SIBNIČKA NOVA 1 2,+381 68 186 7658,,791075
141,VeselkoAćamović,1307961232711,Veselko,Aćamović,M,1961-07-13,VINOGRADSKA 40V,+381 69 610 7435,,802301
142,vujkopetraš4132,0803927342701,Vujko,Petrašković,M,1927-03-08,PRESEKE 42,+381 63 742 5470,,704369
143,njegoslavađ2051,1910927107195,Njegoslava,Đoković,F,1927-10-19,KOSNI PUT 61,+381 65 801 0320,,704369
144,petojemarin4705,0807984022476,Petoje,Marinčević,M,1984-07-08,TANASKA RAJIĆA 24,+381 66 651 0202,petojemarin4705@yandex.ru,803138
145,ZlatijaRadević,0308973419114,Zlatija,Radević,F,1973-08-03,STUDENTSKA 13,+381 61 122 5457,ZlatijaRadević@gmail.com,802301
146,zlatijaflor5847,0401995917398,Zlatija,Floranović,F,1995-01-04,PROVALIJSKA 22A,+381 67 036 3725,,703761
147,vukojicasmi5330,2705951701700,Vukojica,Smiljanović,M,1951-05-27,ISIDORE SEKULIĆ 6,+381 63 600 2851,vukojicasmi5330@hotmail.com,803138
148,veselaselja3465,1605943818828,Vesela,Seljaković,F,1943-05-16,SKADARSKA 48D,+381 61 814 7013,,803138
149,zorislavaab8962,1001925916664,Zorislava,Abramović,F,1925-01-10,GRANIČARSKA 24,+381 63 140 5703,zorislavaab8962@yandex.ru,803138
150,svetolikpan1489,2208939203737,Svetolik,Pandilović,M,1939-08-22,MAČVANSKA 26A,+381 60 427 0156,,803138
151,NatalijaNišović,0511940569794,Natalija,Nišović,F,1940-11-05,BRATSTVA JEDINSTVA 67,+381 67 105 1443,,803138
152,nedeljkadoj2220,0809928075950,Nedeljka,Dojčilović,F,1928-09-08,JASTREBAČKA 4,+381 65 237 4547,,803138
153,ljubinkatri6161,0711998616125,Ljubinka,Trikanović,F,1998-11-07,MANASIJSKA ULICA 6,+381 67 646 5843,ljubinkatri6161@yandex.ru,803138
154,dragojlakuz6087,2304929639811,Dragojla,Kuzeljević,F,1929-04-23,BOROVSKA 15,+381 68 416 6513,,719366
155,stanisavalj3491,1103925509687,Stanisava,Ljepović,F,1925-03-11,DRUGE PROLETERSKE BRIGADE 12,+381 67 831 4601,stanisavalj3491@yahoo.com,719714
156,adelinabunj4892,1206965399609,Adelina,Bunjičević,F,1965-06-12,RADIVOJA KORAĆA 167,+381 66 282 3288,,719552
157,nikoletabuz7497,2606977309868,Nikoleta,Buzurović,F,1977-06-26,CARA LAZARA 41,+381 62 682 8240,nikoletabuz7497@gmail.com,719455
158,dražehrelja1436,2105928972454,Draže,Hreljanović,M,1928-05-21,BOGAVCE 30,+381 65 443 6150,,700282
159,AćimAntešević,1512986040664,Aćim,Antešević,M,1986-12-15,KARAĐORĐA PETROVIĆA 17,+381 67 157 8656,AćimAntešević@mail.ru,712434
160,OtašŠarčević,0307959463070,Otaš,Šarčević,M,1959-07-03,PRVA PETROVICA 52,+381 62 566 8505,OtašŠarčević@gmail.com,712434
161,NegicaKolović,0505950105175,Negica,Kolović,F,1950-05-05,GLAVNA ULICA 13,+381 68 100 3088,NegicaKolović@yahoo.com,700436
162,justinaguša9663,0106948108822,Justina,Gušanović,F,1948-06-01,MILOJA ČURLIĆA 22,+381 60 001 3482,,719498
163,AndroTinterović,2208980130097,Andro,Tinterović,M,1980-08-22,13. OKTOBAR 20A,+381 69 642 1272,AndroTinterović@hotmail.com,712400
164,BlažaJakovović,2707931493385,Blaža,Jakovović,M,1931-07-27,KRALJEVAČKA 8,+381 69 504 4671,,712353
165,georginabir1465,1711939766072,Georgina,Birčević,F,1939-11-17,MOMIRA JOVANOVIĆA 6,+381 60 548 0248,,718785
166,milukatrima8730,1304957769420,Miluka,Trimanović,F,1957-04-13,VOJVODE STEVANA KNIĆANINA 108,+381 62 877 2212,milukatrima8730@gmail.com,716995
167,vuinpustinj7338,2411940234622,Vuin,Pustinjaković,M,1940-11-24,KRALJA ALEKSANDRA UJEDINITELJA 86,+381 62 556 2480,,716871
168,stanišazlat7651,3110955031286,Staniša,Zlatković,M,1955-10-31,GLAVIČKI PUT 26,+381 65 045 2062,stanišazlat7651@yandex.ru,716766
169,dobrovukleo1446,1508940000799,Dobrovuk,Leontijević,M,1940-08-15,SVETE PETKE 18,+381 67 517 4685,,719188
170,KlaraPumpalović,2411955357303,Klara,Pumpalović,F,1955-11-24,KARAĐORĐEVA 30,+381 68 702 0817,,720160
171,darijemilut1688,1103990354050,Darije,Milutinović,M,1990-03-11,KOSMAJSKA 107,+381 63 055 5782,darijemilut1688@yahoo.com,704458
172,stanislavđo3183,1305978150696,Stanislav,Đorgović,M,1978-05-13,ĐORĐA JOVANOVIĆA 6,+381 68 517 0337,stanislavđo3183@yandex.ru,704458
173,JandreBančević,0508933532428,Jandre,Bančević,M,1933-08-05,MILUTINA MILANKOVIĆA 116,+381 68 304 5115,,704466
174,NegicaRastović,1609975765766,Negica,Rastović,F,1975-09-16,SIME MATAVULjA 51,+381 69 162 7300,NegicaRastović@gmail.com,704458
175,dikosavazel8706,0212966446934,Dikosava,Zeljović,F,1966-12-02,ŠUMADIJSKA 10,+381 60 173 3223,dikosavazel8706@hotmail.com,703737
176,mišljengorn7669,1112946242761,Mišljen,Gornjaković,M,1946-12-11,DUNAVSKA 1A,+381 69 223 5703,,703737
177,miličkoraos1526,1204971192657,Miličko,Raosavljević,M,1971-04-12,VOJVOĐANSKA 1,+381 62 457 7580,miličkoraos1526@hotmail.com,803146
178,maksimilijanvukaljevi7906,0408992232016,Maksimilijan,Vukaljević,M,1992-08-04,29. NOVEMBRA 13,+381 67 356 1273,maksimilijanvukaljevi7906@gmail.com,803090
179,dubravkabor6399,1005940188861,Dubravka,Borjanović,F,1940-05-10,DRAGUTINA STOKIĆA 2,+381 65 167 8038,,718823
180,emilijapetr3234,0301998716698,Emilija,Petranović,F,1998-01-03,JABLANIČKA 64,+381 62 726 6162,emilijapetr3234@hotmail.com,740705
181,VojinBezmarević,1309006713607,Vojin,Bezmarević,M,2006-09-13,KOBILJAČA 3,+381 66 275 4660,VojinBezmarević@yandex.ru,718980
182,krstomirbuc3333,0112949140376,Krstomir,Buculjević,M,1949-12-01,RADA DOKMANOVIĆA 60,+381 60 722 2425,,718980
183,zorislavaru8087,2510979765799,Zorislava,Rudanović,F,1979-10-25,MILUNA GRUJOVIĆA 50,+381 61 883 8108,zorislavaru8087@mail.ru,718980
184,PoznanLalošević,0910991501706,Poznan,Lalošević,M,1991-10-09,MAJORA GAVRILOVIĆA 16,+381 69 634 7280,PoznanLalošević@gmail.com,718980
185,VajoKitaljević,2712944394169,Vajo,Kitaljević,M,1944-12-27,RUŽICE VASIKIĆ 3,+381 67 534 8482,VajoKitaljević@yandex.ru,718980
186,tijanablaža7804,1701970929553,Tijana,Blažarević,F,1970-01-17,BRIONSKA 23,+381 61 704 0646,tijanablaža7804@hotmail.com,718980
187,petrijapara8573,2905936579294,Petrija,Parađenović,F,1936-05-29,BALZAKOVA 6A,+381 67 248 1365,,718980
188,NeđeljkaRašević,0611002169095,Neđeljka,Rašević,F,2002-11-06,CARA DUŠANA NEMANJIĆA 65,+381 61 181 8643,NeđeljkaRašević@mail.ru,718769
189,DobricaKojević,1010975136164,Dobrica,Kojević,F,1975-10-10,ĐORĐA JOVANOVIĆA 7,+381 65 436 7371,DobricaKojević@yahoo.com,718980
